mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
74,0.6336394003507736,true,222,603,0.7010719540684163,0.18983231094099126,163,false,113250.0
24,0.5919952268104677,false,492,82,0.5625380179310421,0.755505595327351,200,true,116890.0
18,0.8070543987027472,false,378,541,0.5682748224609955,0.13597525004289313,239,false,112257.0
93,0.24169339125142503,true,442,777,0.6409914816948584,0.4453669739087599,180,false,110109.0
16,0.4934911935383899,true,886,344,0.5183000685784467,0.4833406368464127,181,true,112446.0
35,0.6898921275640076,true,312,450,0.6270714377426114,0.42834736565316156,124,false,109871.0
73,0.6390873488575354,false,489,775,0.6208675523932418,0.6064368090079265,123,true,112819.0
85,0.5373669900237574,true,219,165,0.7475065785837138,0.26913932141679475,215,true,110003.0
50,0.28007925607527673,false,610,591,0.5409421923460676,0.503515869192443,133,true,110086.0
60,0.4948964701737275,false,391,600,0.7552739934542725,0.20165971163983637,173,false,106287.0
78,0.6196363791068445,true,96,140,0.6633026107786899,0.17141575320513594,223,false,112190.0
42,0.8238622361941496,false,882,143,0.5234900562690383,0.46716988105706103,174,true,109495.0
43,0.8472630539076985,true,412,509,0.7468122842446843,0.7783814462368439,100,false,112470.0
41,0.36752369530827167,false,855,289,0.6213316930217804,0.31247520683594177,180,false,110223.0
42,0.6381429326063507,true,460,105,0.6715670752585565,0.5475906701556862,259,true,110128.0
96,0.7511916430277407,false,446,34,0.7720891465503996,0.3633500795211111,159,false,114379.0
56,0.3154802641105722,true,285,896,0.8113731853939852,0.7349746621637562,237,true,113515.0
72,0.7636347560619466,true,398,445,0.5677179967778657,0.7193666036262206,249,false,116584.0
52,0.4938222325746884,false,58,900,0.7766532412270701,0.6034697786787585,217,true,112743.0
37,0.34706149591946744,true,448,789,0.6320065343139216,0.6591235333757494,258,false,112347.0
44,0.558665361751839,false,208,467,0.8706674614156589,0.3741790638985141,118,false,116830.0
35,0.6336169577860208,true,785,830,0.8297936001186976,0.4726159698235619,120,false,112620.0
54,0.4351024887890037,false,365,632,0.5295138989818498,0.4131221868178555,220,true,112320.0
84,0.437068021817251,true,957,617,0.7139487138684013,0.25084599196379187,146,true,117950.0
39,0.8320225044977618,false,82,905,0.8295322704032626,0.15752942095720798,161,true,112525.0
25,0.7033323742478469,false,811,921,0.7497714685623087,0.2554761302651295,189,false,116635.0
32,0.7107687227345896,true,183,178,0.7285134043892303,0.7955194149171626,231,true,112664.0
33,0.7138633936927969,true,430,707,0.8880832587831627,0.39329061822992006,121,false,112363.0
68,0.7011057168743601,false,664,117,0.6123910159635794,0.1261719038054963,229,true,113543.0
87,0.6484421609154983,true,182,85,0.7930262739963487,0.2534526693445114,192,false,112553.0
52,0.5640970038206929,false,829,984,0.7169043648320867,0.3076811598630643,215,true,109924.0
49,0.8717268285035068,true,485,623,0.7960917815825508,0.7429153736895032,153,false,116941.0
45,0.50537909213857,true,177,270,0.7288077527854748,0.2868992388625926,208,false,118439.0
69,0.3387289154582209,false,719,832,0.6175807162869453,0.15564414838317658,196,false,116554.0
20,0.7982141107746326,false,280,838,0.6167779140151196,0.5535544637155294,254,true,112715.0
98,0.6531496272085595,false,493,690,0.759716687045608,0.3754813715925851,107,true,109619.0
69,0.25622610200792184,false,478,41,0.5646334153808696,0.769781205289471,159,false,112525.0
30,0.2596676580444484,false,156,377,0.8319147113993033,0.34241334496240194,250,true,112699.0
73,0.8419188880274754,true,244,641,0.7845191507594307,0.4136738070581917,151,false,116690.0
73,0.679464253681393,false,614,390,0.5792553022240888,0.38269513851736714,260,true,112783.0
97,0.504337485044817,true,528,380,0.5733097794540578,0.7154841196460643,240,true,109807.0
69,0.4771643966343587,true,72,724,0.5758021743509982,0.24509412110452186,125,true,112367.0
99,0.6702860534508727,false,482,992,0.6523533953688309,0.24274769888770348,160,true,108526.0
82,0.3740243432588456,false,813,975,0.6518777664263279,0.7731728863494975,217,true,113696.0
13,0.7006282411661561,false,123,487,0.7156915681833722,0.2562944076920127,117,false,112446.0
67,0.8675946884641845,true,346,360,0.8528916139673659,0.4366359278528976,173,false,116963.0
62,0.25923058921097386,false,823,166,0.5372741933405569,0.4389020010409188,106,true,116647.0
70,0.8185601421194576,true,819,686,0.6040173843211615,0.5256630575028344,167,true,116524.0
83,0.5494528111145811,true,1000,968,0.6736471311515628,0.5071727284219879,114,false,118804.0
48,0.48951004768698814,true,638,760,0.5876314109847982,0.2255422821865103,124,true,116609.0
53,0.7488786487150015,true,610,665,0.7495335153689359,0.1505796906691621,155,true,117083.0
23,0.47254643352987347,true,270,852,0.5206260641337993,0.4827452594398778,241,false,112553.0
17,0.6367615071650051,true,737,155,0.7463419863017224,0.6693950749072246,105,true,111064.0
59,0.2961927252368981,true,218,11,0.6490152291538273,0.7732164614958157,126,true,116865.0
88,0.5900387536133115,true,630,986,0.7202758975620759,0.14802580586438485,158,true,116516.0
10,0.2790358820480304,false,910,315,0.5946027346275145,0.35486701912140795,241,false,112324.0
35,0.4493917942023777,true,96,169,0.5028066585856501,0.23817151532687134,183,false,116342.0
44,0.2571082188258109,true,209,742,0.874752165523524,0.13801183182404383,243,false,110223.0
79,0.7639127536432692,true,600,608,0.8126607292441194,0.46374899630287336,183,false,109844.0
81,0.8667137457189639,false,210,614,0.8120214059851367,0.3388485072059232,138,false,118229.0
50,0.5995688685068327,false,577,518,0.780368690620113,0.17176289002080122,202,true,110105.0
53,0.7977276923051811,false,394,614,0.8236945428722635,0.1970960562340207,100,false,112261.0
63,0.32940860833337526,false,913,975,0.7509736031642777,0.3675976712214366,190,true,118716.0
29,0.49458976980192837,false,545,644,0.5366936287158846,0.4224034590469453,170,false,108839.0
78,0.5346712492595515,false,623,446,0.8057462491410905,0.2733499766350122,189,false,116389.0
15,0.6193939281221766,true,209,411,0.533986605008914,0.7874304688373206,178,false,112580.0
57,0.2679010672258095,true,84,987,0.6042318943201777,0.11010720463896405,176,true,116295.0
97,0.5709886336932983,false,313,992,0.73123151246336,0.320391723007407,258,false,112834.0
55,0.3265207425900804,false,414,837,0.7166797071874089,0.7653531563527974,212,false,116835.0
18,0.46242356482447566,false,46,644,0.8822400229717069,0.6616314793754324,220,false,118804.0
100,0.8083723086192557,false,267,389,0.8933539367850813,0.11002578360047328,144,true,117989.0
60,0.44616534407606523,false,259,154,0.878853839279605,0.4275008870294219,202,true,116720.0
93,0.6966885478981427,false,854,26,0.532535097166855,0.7114988692753819,181,false,111798.0
35,0.2920464662355344,true,143,987,0.8139414590962053,0.6580837234055343,111,false,118593.0
80,0.8118903668688254,false,677,360,0.6983167434058322,0.5399354107999456,208,true,114224.0
19,0.4671292699587831,true,910,705,0.7080977242772442,0.18463585972251823,185,true,112739.0
11,0.36688683330939853,true,430,404,0.8794927528427795,0.12383711945999283,211,true,108481.0
77,0.8989001070273364,true,114,111,0.8271315074196519,0.4050456472962841,104,false,117263.0
99,0.5806284804965633,false,131,238,0.5934835044371589,0.5119152492536206,104,true,108736.0
96,0.5569822467026073,true,233,947,0.5757086904864075,0.676292405196343,239,true,114086.0
97,0.5408597076504159,true,208,483,0.5299238723005866,0.6223475565382105,191,false,116571.0
100,0.7650273110215243,true,257,971,0.7981134799940439,0.10955037630653795,175,false,116873.0
59,0.324268075922114,false,930,150,0.7821591700604165,0.36641400215327025,258,true,116630.0
34,0.7381197621841488,false,352,161,0.6145186847675227,0.349552093074732,150,false,116707.0
34,0.36946499974229685,true,917,318,0.5289046512458488,0.1953609718327316,193,true,116724.0
61,0.6856223406055821,false,295,401,0.6752314249769398,0.646450360706496,235,false,116596.0
85,0.6088659158143085,false,532,784,0.8339100791621925,0.16300235443722405,234,true,112572.0
66,0.5110896895865326,true,114,68,0.8872374495796529,0.27312212534593827,235,false,118129.0
78,0.4025270217158256,false,484,822,0.6512508362619065,0.51871081149594,129,true,110325.0
94,0.32844458183198694,true,600,332,0.6726365517024946,0.346510027413003,226,true,112561.0
64,0.27080215497233817,false,265,536,0.5097910575930623,0.3931399541751702,122,true,112549.0
36,0.3778970511628421,false,570,726,0.852811623159363,0.4169245610897997,216,true,112592.0
71,0.5333358776870957,true,127,894,0.8121998355449053,0.504620588452527,241,false,116609.0
53,0.4624656149185623,false,485,555,0.5579099907830755,0.24280955615138777,108,false,116950.0
52,0.6916444935096722,false,384,59,0.7442509867744256,0.5948413785646424,187,true,113002.0
21,0.5847215554739097,true,487,59,0.5492198197825193,0.26226603309251384,178,true,112691.0
83,0.6973101213959755,true,677,187,0.851128291215306,0.2674866255680201,234,true,114000.0
46,0.7323319837216099,false,64,607,0.626685691548368,0.2789353290532339,215,false,112572.0
45,0.3515226480704813,true,70,205,0.5712649939115524,0.189340505347166,195,true,110371.0
69,0.5360398517750836,true,420,286,0.6968565014876527,0.15790001714603058,244,true,116410.0
28,0.7071330670834055,true,238,217,0.5400769655974615,0.5384045484182995,220,false,112312.0
23,0.6376189367118188,false,85,348,0.590139032167345,0.26939423925602635,181,true,112890.0
11,0.7430463187732181,false,673,270,0.5806003430158971,0.6442942292215064,170,true,112600.0
58,0.6577579488216541,true,941,404,0.7602931637903496,0.12324792658138034,190,true,117023.0
60,0.746547261907043,true,411,244,0.661009994227416,0.5382929350727381,120,false,112795.0
22,0.8581101975873081,false,210,109,0.7381609985897761,0.6038506588846925,163,false,114228.0
92,0.645212838014319,true,550,30,0.5569764944102258,0.3040375968507182,243,true,117353.0
55,0.5415758460206318,true,174,630,0.876601961996782,0.5437934610713644,206,true,108806.0
25,0.32723151518774385,false,479,536,0.6069577707842356,0.5671211165653907,108,false,116775.0
64,0.8864131372630208,true,903,522,0.7031792109089959,0.1475659992970483,178,true,116186.0
35,0.5700516267196155,true,995,950,0.8262692392707993,0.7202952244242394,248,false,116554.0
18,0.4658592583321326,true,594,2,0.68263976964436,0.4926235235089842,171,false,114400.0
70,0.715692220549295,false,931,141,0.735108116568693,0.34860597591853804,140,false,118422.0
99,0.7681184381051868,true,662,118,0.7453071128570332,0.5991959192980776,225,false,117070.0
47,0.6313511894216978,true,529,879,0.54561447714367,0.3266791184450353,211,false,116933.0
45,0.43308862469860704,true,722,635,0.8233443169414043,0.5751476435086792,231,false,117198.0
17,0.31709052004065685,true,87,347,0.5062794773095397,0.27781959047429705,184,true,116805.0
42,0.6206030850165415,false,632,306,0.8192986400480616,0.15603763141755272,138,true,113158.0
97,0.8563665779551475,false,380,117,0.771984465191313,0.34741818904225286,260,false,114187.0
47,0.4253209733773385,false,404,923,0.741430054164903,0.3136283543509454,198,true,110029.0
56,0.4066437445267724,true,657,125,0.7035557483130086,0.5201214772663777,241,false,116788.0
98,0.8405634429042992,true,232,345,0.7771610219468468,0.6263105905998156,113,false,113887.0
46,0.7166702690501258,true,830,508,0.6909050432761202,0.6539514631613134,135,true,116754.0
58,0.5822802523446234,true,122,873,0.5268394044954504,0.45210589461310147,163,true,116907.0
37,0.26515293262000483,false,860,705,0.8266652437521662,0.41425930987053616,118,true,116669.0
62,0.5562283778597421,true,409,685,0.6489567252659181,0.15902650545896976,129,true,114277.0
74,0.35380929814216666,false,777,395,0.5039034911760877,0.6309710906066006,101,false,112791.0
22,0.799098499305374,true,459,655,0.8997523181686682,0.40279650666356526,199,false,117151.0
14,0.5889484011893222,false,884,600,0.7239973904894498,0.3895716804262064,223,true,112095.0
42,0.7354620229110401,true,608,912,0.6104575116107707,0.7807207805384174,134,false,110026.0
35,0.361604607858504,true,587,862,0.8510204620121484,0.42891220067894464,119,false,112735.0
73,0.6280249147000108,true,476,959,0.529885247070327,0.3326406960980616,173,false,112735.0
76,0.5100981365330393,true,466,389,0.8101489635264505,0.17834318310118824,256,false,112569.0
65,0.37088199860273774,false,666,113,0.826182949777692,0.7589138443333621,237,false,116673.0
88,0.44887436969931827,false,540,834,0.5934556770870055,0.2607825416473216,196,false,118233.0
25,0.6880604177964825,true,308,72,0.742467776447838,0.583701462422975,197,true,118457.0
43,0.8875884806170133,false,198,469,0.5557235625116075,0.14370821426497832,248,false,110022.0
95,0.46046811450721825,false,760,712,0.6826834393285337,0.6642470661896912,239,false,116279.0
53,0.5093399455447274,false,508,697,0.8583528033946588,0.1206729368744303,247,false,110007.0
90,0.25082241886103585,true,699,693,0.538820870331235,0.1718513454071909,112,true,116737.0
31,0.7417791601479958,true,647,596,0.7963706092163385,0.18807704217470017,258,true,114273.0
45,0.5884833979791205,true,85,880,0.771409178837037,0.6616522883376929,165,false,112994.0
88,0.7203093485602955,true,982,673,0.642134838216552,0.6428733200335278,111,false,112276.0
21,0.6646515568318254,true,459,315,0.701624947500908,0.3596113987500251,247,true,108899.0
38,0.23969884200725194,false,481,760,0.8093445071038701,0.7043130301817138,141,true,116954.0
16,0.7809007559167866,true,729,152,0.5546658968239705,0.17157781311727746,170,true,108736.0
23,0.524051662659675,true,471,692,0.5922449215598605,0.4043603647547094,230,false,116626.0
77,0.7889196976271032,false,431,544,0.5295747848524215,0.733467282103457,113,false,118308.0
10,0.8563140806452159,true,858,910,0.8410180976834345,0.287000714019967,131,false,113939.0
27,0.28053209262467793,true,67,745,0.5117701267092982,0.20500014986815682,152,true,118194.0
22,0.5299014233221458,false,517,104,0.5270615178438278,0.14366041858754952,156,false,118650.0
42,0.8175933947473317,false,713,803,0.7223264569585246,0.5028802784512126,127,true,117113.0
99,0.4923176734865409,false,114,695,0.5902491942321031,0.22776742230091954,225,false,112739.0
91,0.6307780016714918,false,42,891,0.6994254577646961,0.3068858572802521,205,true,118601.0
13,0.8506367835287434,false,860,931,0.7064448010544678,0.7304246777910557,178,true,112819.0
96,0.6122972517114716,false,649,640,0.8182414750231135,0.1334941135454699,129,true,112950.0
36,0.753531598935381,true,162,877,0.7526341545535713,0.4230263090649683,136,false,116397.0
38,0.31016277933817704,true,964,999,0.679444445664868,0.5690394899095046,213,true,110424.0
24,0.5219745495615277,false,995,796,0.5320437928608699,0.5149571624726381,191,true,114126.0
76,0.27343396760844746,false,749,306,0.5932989748936414,0.30048737095627054,196,true,112324.0
50,0.8487972421880654,true,876,934,0.8949444537290154,0.17211891959971454,209,false,116933.0
18,0.6880497703102835,true,249,957,0.8088354305902304,0.2018782572029352,257,true,118281.0
47,0.2825479575809261,false,268,604,0.6699325083241405,0.28986395260198516,126,true,112592.0
14,0.3071566004282516,false,358,826,0.7312199832088241,0.46759543772580214,205,true,113789.0
78,0.6457559416927201,true,249,824,0.8740703008041151,0.5509186296450016,162,true,117061.0
21,0.40771154319826464,false,180,569,0.7493880044825255,0.45497961882612836,241,false,116707.0
33,0.4158135591534381,true,819,575,0.6936366121830733,0.4435665461674856,109,false,116558.0
88,0.46549791277741026,true,512,885,0.7063676372001936,0.6584803504475619,203,true,116869.0
33,0.44884740132936607,true,238,263,0.6012695099086662,0.2507907688193555,107,false,112533.0
59,0.899371286901687,true,301,245,0.5071708324220183,0.5742990740874716,214,true,112890.0
41,0.8540807706637773,true,583,624,0.7984727980766153,0.23168403012678723,239,false,117972.0
76,0.3215508431007464,true,787,91,0.7087708355973765,0.3201160182231221,125,false,117061.0
79,0.41460984981821325,false,763,101,0.7050714590514727,0.5666345685871624,156,true,112478.0
94,0.78445286262192,true,978,776,0.5792951412427738,0.4082119801584988,109,true,116839.0
59,0.8626716873982616,false,507,827,0.5129232219579778,0.24400378742889803,221,true,112831.0
49,0.5071103881272069,false,676,208,0.6502728045921602,0.4918658913232108,129,true,118111.0
65,0.7781225234707441,false,771,883,0.7800326834024731,0.38350520741785077,118,false,116775.0
13,0.49446221597072537,false,478,463,0.5458450081093432,0.2599563234304153,139,true,116869.0
